Ticker,Name,Exchange
AEDJPY=X,AED/JPY,CCY
AEDINR=X,AED/INR,CCY
AUDHUF=X,AUD/HUF,CCY
AMD=X,USD/AMD,CCY
AUDRSD=X,AUD/RSD,CCY
AEDMUR=X,AED/MUR,CCY
AUDPYG=X,AUD/PYG,CCY
ARSAUD=X,ARS/AUD,CCY
ARSJPY=X,ARS/JPY,CCY
AOAGBP=X,AOA/GBP,CCY
AUDHRK=X,AUD/HRK,CCY
CNY=X,USD/CNY,CCY
AUDXPF=X,AUD/XPF,CCY
29134331=X,,
ARSBOB=X,ARS/BOB,CCY
EURBMD=X,EUR/BMD,CCY
AWGCHF=X,AWG/CHF,CCY
ANGSRD=X,ANG/SRD,CCY
ARSCAD=X,ARS/CAD,CCY
ARS=X,USD/ARS,CCY
AUDPHP=X,AUD/PHP,CCY
ANG=X,USD/ANG,CCY
AEDZAR=X,AED/ZAR,CCY
ARSEUR=X,ARS/EUR,CCY
IACWE.PA,SPDR ACWE INAV,PAR
AED=X,USD/AED,CCY
AUDJOD=X,AUD/JOD,CCY
EUR-BZD.F,EUR-BZD.F,
AUKOT.SW,AUKOT.SW,EBS
AEDEGP=X,UAE Dirham (b) vs Egyptian Poun,CCY
AUDTJS=X,AUD/TJS,CCY
EUR-ZMK.F,EUR-ZMK.F,
AWGEUR=X,AWG/EUR,CCY
ANGCAD=X,ANG/CAD,CCY
AUDPKR=X,AUD/PKR,CCY
AEDJOD=X,AED/JOD,CCY
ARSTHB=X,ARS/THB,CCY
EURHRK=X,EUR/HRK,CCY
EURLBP=X,EUR/LBP,CCY
ARSDKK=X,ARS/DKK,CCY
AWGGBP=X,AWG/GBP,CCY
AUDTHB=X,AUD/THB,CCY
AUDBOB=X,AUD/BOB,CCY
EUR-XAF.F,EUR-XAF.F,
AFNUSD=X,AFN/USD,CCY
AUDJMD=X,AUD/JMD,CCY
AEDSAR=X,AED/SAR,CCY
AUDKWD=X,AUD/KWD,CCY
AOA=X,USD/AOA,CCY
AUDISK=X,AUD/ISK,CCY
985840=X,,
EURMUR=X,EUR/MUR,CCY
AUDDKK=X,AUD/DKK,CCY
AUGLE.SW,AUGLE.SW,EBS
AUDKES=X,AUD/KES,CCY
AEDDKK=X,AED/DKK,CCY
ARSSGD=X,ARS/SGD,CCY
EUR-JOD.F,EUR-JOD.F,
AEDIDR=X,AED/IDR,CCY
AUDTMT=X,AUD/TMT,CCY
AUDUGX=X,AUD/UGX,CCY
AUDBRL=X,AUD/BRL,CCY
AOACHF=X,AOA/CHF,CCY
AUDARS=X,AUD/ARS,CCY
XF000EURPEN5.SG,,
AUDAWG=X,AUD/AWG,CCY
AUDCNY=X,AUD/CNY,CCY
AWGUSD=X,AWG/USD,CCY
EURBOB=X,EUR/BOB,CCY
HF42.EX,,
AUDZAR=X,AUD/ZAR,CCY
AEDCHF=X,AED/CHF,CCY
AUDPEN=X,AUD/PEN,CCY
AEDIQD=X,AED/IQD,CCY
AUDBAM=X,AUD/BAM,CCY
AOAEUR=X,AOA/EUR,CCY
ANGUSD=X,ANG/USD,CCY
AZNEUR=X,AZN/EUR,CCY
AUDBBD=X,AUD/BBD,CCY
AUDSVC=X,AUD/SVC,CCY
AUDCOP=X,AUD/COP,CCY
ALL=X,USD/ALL,CCY
AFNEUR=X,AFN/EUR,CCY
ALLCHF=X,ALL/CHF,CCY
AUDBSD=X,AUD/BSD,CCY
AUDTRY=X,AUD/TRY,CCY
AUDSEK=X,AUD/SEK,CCY
