,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-01-03,21.482821,22.27581,21.362671,22.179689,20.747217,19604078
1,2012-01-04,21.93939,22.828501,21.93939,22.708349,21.241732,17183854
2,2012-01-05,22.419991,22.780439,22.08357,22.492081,21.039429,11318102
3,2012-01-06,21.819241,22.227751,21.819241,22.01148,20.58987,14641282
4,2012-01-09,22.25178,22.780439,22.155661,22.66029,21.196775,23624303
5,2012-01-10,23.309099,23.66955,22.54014,22.68432,21.219255,26715897
6,2012-01-11,22.73238,23.237009,22.492081,23.14089,21.646338,11934623
7,2012-01-12,23.59746,23.957911,23.020741,23.86179,22.320675,15016313
8,2012-01-13,23.62149,23.717609,23.18895,23.5494,22.028461,13604994
9,2012-01-17,23.957911,24.102091,23.309099,23.453279,21.938551,10103745
10,2012-01-18,23.5494,24.102091,23.453279,24.07806,22.52298,10617561
11,2012-01-19,24.22224,24.60672,24.15015,24.46254,22.882622,11711486
12,2012-01-20,24.366421,24.53463,24.174179,24.438511,22.860147,9716271
13,2012-01-23,24.53463,24.79896,24.366421,24.630751,23.039974,11912817
14,2012-01-24,24.39045,24.7509,24.15015,24.67881,23.084929,8622597
15,2012-01-25,24.53463,25.231501,24.22224,25.183439,23.556963,12543945
16,2012-01-26,25.61598,25.80822,24.630751,24.895081,23.287233,11300791
17,2012-01-27,24.654779,25.15941,24.46254,25.06329,23.444578,9039201
18,2012-01-30,24.72687,25.039261,24.558661,24.79896,23.197319,8033375
19,2012-01-31,25.111349,25.13538,24.2703,24.41448,22.837675,10442946
20,2012-02-01,24.67881,24.82299,24.438511,24.510599,22.995483,10509363
21,2012-02-02,24.79896,25.15941,24.654779,25.039261,23.491467,10125260
22,2012-02-03,25.42374,25.92837,25.231501,25.856279,24.257978,14933625
23,2012-02-06,25.591949,25.856279,25.4718,25.80822,24.212894,7764211
24,2012-02-07,25.712099,25.856279,25.495831,25.640011,24.055079,9839243
25,2012-02-08,25.832251,26.240761,25.495831,25.640011,24.055079,11233417
26,2012-02-09,25.76016,25.904341,25.303591,25.567921,23.987444,8512901
