ticker,date,current_price,moving_mean_200_days,long_mean_percent_diff
3IN,2022-10-22,301.5,335.78588790893554,-11.371770450724886
888,2022-10-22,89.0,176.76387003839017,-98.61108993077546
AAIF,2022-10-22,196.25,215.73541160583497,-9.928872155839475
AAL,2022-10-22,2734.0,3186.8569140625,-16.563895905724213
