name,code
유니켐,011330.KS
유화증권,003460.KS
이구산업,025820.KS
이노션,214320.KS
이마트,139480.KS
이스타코,015020.KS
일성신약,003120.KS
제이에스코퍼레이션,194370.KS
종근당바이오,063160.KS
지투알,035000.KS
진도,088790.KS
진양화학,051630.KS
케이씨,029460.KS
케이탑리츠,145270.KS
코스모신소재,005070.KS
태평양물산,007980.KS
텔코웨어,078000.KS
티와이홀딩스,363280.KS
팜스코,036580.KS
하이스틸,071090.KS
하이트론씨스템즈,019490.KS
한국수출포장공업,002200.KS
한국앤컴퍼니,000240.KS
한국자산신탁,123890.KS
한국전력공사,015760.KS
한국주강,025890.KS
한솔홀딩스,004150.KS
한신기계공업,011700.KS
한일시멘트,300720.KS
한화에어로스페이스,012450.KS
해태제과식품,101530.KS
현대글로비스,086280.KS
현대중공업,329180.KS
화승알앤에이,378850.KS
효성 ITX,094280.KS
휴니드테크놀러지스,005870.KS
AJ네트웍스,095570.KS
CJ대한통운,000120.KS
DL건설,001880.KS
F&F,383220.KS
HJ중공업,097230.KS
HL D&I,014790.KS
HMM,011200.KS
KPX홀딩스,092230.KS
LG생활건강,051900.KS
LG화학,051910.KS
LIG넥스원,079550.KS
NH올원리츠,400760.KS
NH투자증권,005940.KS
NICE,034310.KS
NI스틸,008260.KS
SH에너지화학,002360.KS
SK네트웍스,001740.KS
SK증권,001510.KS
SK텔레콤,017670.KS
경인양행,012610.KS
경인전자,009140.KS
교촌에프앤비,339770.KS
국보,001140.KS
기신정기,092440.KS
까뮤이앤씨,013700.KS
넥센타이어,002350.KS
농심,004370.KS
대덕,008060.KS
대동전자,008110.KS
대림비앤코,005750.KS
대양금속,009190.KS
대웅제약,069620.KS
대창,012800.KS
대한전선,001440.KS
대한항공,003490.KS
대호에이엘,069460.KS
동국제강,001230.KS
두산밥캣,241560.KS
디아이동일,001530.KS
디아이씨,092200.KS
롯데관광개발,032350.KS
롯데칠성음료,005300.KS
롯데케미칼,011170.KS
마스턴프리미어리츠,357430.KS
맵스리얼티1,094800.KS
미래아이앤지,007120.KS
미래에셋글로벌리츠,396690.KS
바다로19호,155900.KS
부산산업,011390.KS
부산주공,005030.KS
사조산업,007160.KS
사조씨푸드,014710.KS
삼성제약,001360.KS
삼원강재,023000.KS
삼일씨엔에스,004440.KS
삼화왕관,004450.KS
서연,007860.KS
세아특수강,019440.KS
세진중공업,075580.KS
셀트리온,068270.KS
신성통상,005390.KS
신한서부티엔디리츠,404990.KS
쌍용자동차,003620.KS
써니전자,004770.KS
쎌마테라퓨틱스,015540.KS
씨에스윈드,112610.KS
아세아제지,002310.KS
에넥스,011090.KS
에스제이엠,123700.KS
엔케이,085310.KS
엔피씨,004250.KS
엘에스일렉트릭,010120.KS
영원무역,111770.KS
영원무역홀딩스,009970.KS
용평리조트,070960.KS
우신시스템,017370.KS
우진플라임,049800.KS
유니드,014830.KS
유안타증권,003470.KS
유진증권,001200.KS
이건산업,008250.KS
이연제약,102460.KS
인바이오젠,101140.KS
인스코비,006490.KS
제주은행,006220.KS
조광페인트,004910.KS
조선내화,000480.KS
지엠비코리아,013870.KS
케이씨씨,002380.KS
케이씨씨글라스,344820.KS
코오롱인더,120110.KS
태경케미컬,006890.KS
티케이지휴켐스,069260.KS
페이퍼코리아,001020.KS
플레이그램,009810.KS
하나제약,293480.KS
하나투어,039130.KS
한국공항,005430.KS
한국철강,104700.KS
한국콜마,161890.KS
한국패러랠,168490.KS
한미글로벌,053690.KS
한신공영,004960.KS
한양증권,001750.KS
한진,002320.KS
한진중공업홀딩스,003480.KS
현대건설기계,267270.KS
현대두산인프라코어,042670.KS
현대에너지솔루션,322000.KS
현대일렉트릭,267260.KS
현대제철,004020.KS
화승코퍼레이션,013520.KS
황금에스티,032560.KS
효성중공업,298040.KS
효성첨단소재,298050.KS
AK홀딩스,006840.KS
CJ,001040.KS
DB금융투자,016610.KS
DGB금융지주,139130.KS
ESR켄달스퀘어리츠,365550.KS
KG스틸,016380.KS
KISCO홀딩스,001940.KS
LG디스플레이,034220.KS
LG에너지솔루션,373220.KS
LS,006260.KS
LX인터내셔널,001120.KS
NH프라임리츠,338100.KS
S-Oil,010950.KS
SK바이오사이언스,302440.KS
SK케미칼,285130.KS
SK하이닉스,000660.KS
SNT모티브,064960.KS
계룡건설산업,013580.KS
고려아연,010130.KS
기아,000270.KS
남양유업,003920.KS
남해화학,025860.KS
다이나믹디자인,145210.KS
대상,001680.KS
대성홀딩스,016710.KS
대우조선해양,042660.KS
대한제강,084010.KS
대한제당,001790.KS
더존비즈온,012510.KS
롯데하이마트,071840.KS
만호제강,001080.KS
모나미,005360.KS
문배철강,008420.KS
미창석유공업,003650.KS
백광산업,001340.KS
벽산,007210.KS
부광약품,003000.KS
부국철강,026940.KS
비비안,002070.KS
비상교육,100220.KS
삼성공조,006660.KS
삼성생명,032830.KS
삼양패키징,272550.KS
삼화전기,009470.KS
삼화페인트공업,000390.KS
샘표,007540.KS
서흥,008490.KS
선도전기,007610.KS
세하,027970.KS
센트럴인사이트,012600.KS
수산인더스트리,126720.KS
신라교역,004970.KS
신세계건설,034300.KS
신영와코루,005800.KS
신영증권,001720.KS
신원,009270.KS
신풍제약,019170.KS
아세아시멘트,183190.KS
